거래처,R_점수,F_점수,M_점수
C04,5,5,5
C28,5,5,3
C18,5,5,4
C39,4,5,2
C53,1,2,1
C20,5,5,4
C05,5,5,5
C06,4,4,5
C02,5,4,5
C21,3,4,4
C03,4,5,5
C19,1,3,4
C36,1,2,2
C07,5,5,5
C01,5,5,5
C52,1,1,1
C30,2,4,3
C11,4,4,5
C15,2,4,4
C26,3,4,3
C46,1,3,1
C08,5,5,5
C31,1,3,3
C09,4,3,5
C17,3,5,4
C10,5,4,5
C13,3,4,4
C25,1,3,3
C29,3,3,3
C32,1,2,3
C51,1,1,1
C35,3,2,2
C50,1,1,1
C37,1,1,2
C33,3,4,2
C16,5,4,4
C43,2,2,2
C38,3,2,2
C48,2,1,1
C34,2,2,2
C47,2,1,1
C12,5,4,4
C49,2,1,1
C14,5,3,4
C41,2,2,2
C42,2,2,2
C45,3,1,1
C40,3,1,2
C23,3,3,3
C27,4,3,3
C22,4,2,4
C24,5,2,3
C44,3,1,1
C54,4,1,1
