거래처,마지막거래일,R_경과일
C01,2026-06-30,0
C28,2026-06-30,0
C18,2026-06-30,0
C24,2026-06-30,0
C14,2026-06-30,0
C20,2026-06-30,0
C05,2026-06-30,0
C12,2026-06-30,0
C02,2026-06-30,0
C16,2026-06-30,0
C04,2026-06-30,0
C10,2026-06-30,0
C08,2026-06-30,0
C07,2026-06-30,0
C54,2026-06-29,1
C27,2026-06-29,1
C03,2026-06-29,1
C06,2026-06-23,7
C22,2026-06-18,12
C09,2026-06-15,15
C11,2026-06-10,20
C39,2026-05-31,30
C44,2026-05-28,33
C13,2026-05-27,34
C33,2026-05-20,41
C26,2026-04-30,61
C17,2026-04-30,61
C23,2026-04-30,61
C29,2026-03-31,91
C38,2026-02-28,122
C35,2026-01-30,151
C21,2025-12-31,181
C40,2025-12-31,181
C45,2025-12-31,181
C42,2025-12-29,183
C41,2025-11-28,214
C34,2025-08-31,303
C49,2025-08-08,326
C15,2025-07-31,334
C43,2025-05-30,396
C30,2025-05-30,396
C47,2025-05-28,398
C48,2025-02-28,487
C25,2025-01-31,515
C31,2024-12-31,546
C37,2024-11-30,577
C36,2024-10-31,607
C50,2024-10-02,636
C32,2024-08-31,668
C51,2024-08-09,690
C19,2024-07-31,699
C46,2024-07-31,699
C52,2024-01-31,881
C53,2024-01-22,890
