거래처,경과일,R_점수
C01,0,5
C28,0,5
C18,0,5
C24,0,5
C14,0,5
C20,0,5
C05,0,5
C12,0,5
C02,0,5
C16,0,5
C04,0,5
C10,0,5
C08,0,5
C07,0,5
C54,1,4
C06,7,4
C11,20,4
C39,30,4
C22,12,4
C09,15,4
C27,1,4
C03,1,4
C33,41,3
C38,122,3
C26,61,3
C44,33,3
C17,61,3
C13,34,3
C29,91,3
C23,61,3
C40,181,3
C35,151,3
C45,181,3
C21,181,3
C41,214,2
C42,183,2
C43,396,2
C15,334,2
C48,487,2
C34,303,2
C47,398,2
C30,396,2
C49,326,2
C52,881,1
C53,890,1
C37,577,1
C50,636,1
C51,690,1
C32,668,1
C19,699,1
C31,546,1
C36,607,1
C46,699,1
C25,515,1
