거래처,매출
C01,20277599255
C02,15661915412
C03,13350230945
C04,9522712428
C05,6691179110
C06,4899496569
C07,4141093803
C08,3712618078
C09,2994750000
C10,2568724997
C11,2166780000
C12,1813730917
C13,1773218656
C14,1430056804
C15,1347950591
C16,1207195621
C17,1119201050
C18,877750797
C19,861947339
C20,817721850
C21,751364487
C22,624525000
C23,493200730
C24,479825445
C25,406340000
C26,375136366
C27,319471388
C28,279611134
C29,226403661
C30,214274492
C31,185391250
C32,133757965
C33,114920113
C34,96176850
C35,76723185
C36,46023120
C37,39142950
C38,34981980
C39,33000000
C40,20588492
C41,18978315
C42,16393190
C43,15902425
C44,13813272
C45,11911086
C46,5892865
C47,4488000
C48,4277471
C49,984687
C50,724270
C51,213979
C52,121000
C53,0
C54,0
