transaction_id,txn_date,year,year_month,customer_code,region,qty,unit_price,item_supply_amount,supply_amount,tax,total_amount,is_modified,invoice_type,issue_type,receipt_type
T0001,2024-01-02,2024,2024-01,C04,부산광역시 수영구,,,1000000,1000000,100000,1100000,N,세금계산서,ASP발급,청구
T0002,2024-01-03,2024,2024-01,C28,경상남도 창녕군,,,100000,120000,12000,132000,N,세금계산서,인터넷발급,청구
T0003,2024-01-03,2024,2024-01,C28,경상남도 창녕군,,,200000,320000,32000,352000,N,세금계산서,인터넷발급,청구
T0004,2024-01-03,2024,2024-01,C18,대구광역시 달서구,,,200000,320000,32000,352000,N,세금계산서,인터넷발급,청구
T0005,2024-01-03,2024,2024-01,C39,경상남도 창원시,,,1000000,1000000,100000,1100000,N,세금계산서,ASP발급,청구
T0006,2024-01-09,2024,2024-01,C28,경상남도 창녕군,,,200000,320000,32000,352000,N,세금계산서,인터넷발급,청구
T0007,2024-01-10,2024,2024-01,C28,경상남도 창녕군,,,200000,360000,36000,396000,N,세금계산서,인터넷발급,청구
T0008,2024-01-11,2024,2024-01,C28,경상남도 창녕군,,,200000,320000,32000,352000,N,세금계산서,인터넷발급,청구
T0009,2024-01-12,2024,2024-01,C28,경상남도 창녕군,,,100000,180000,18000,198000,N,세금계산서,인터넷발급,청구
T0010,2024-01-15,2024,2024-01,C53,경기도 안산시,,,200000,360000,36000,396000,N,세금계산서,인터넷발급,청구
T0011,2024-01-15,2024,2024-01,C53,경기도 안산시,,,-200000,-360000,-36000,-396000,Y,수정세금계산서,인터넷발급,청구
T0012,2024-01-17,2024,2024-01,C18,대구광역시 달서구,,,200000,400000,40000,440000,N,세금계산서,인터넷발급,청구
T0013,2024-01-18,2024,2024-01,C53,경기도 안산시,,,200000,320000,32000,352000,N,세금계산서,인터넷발급,청구
T0014,2024-01-18,2024,2024-01,C53,경기도 안산시,,,-200000,-320000,-32000,-352000,Y,수정세금계산서,인터넷발급,청구
T0015,2024-01-22,2024,2024-01,C53,경기도 안산시,,,200000,320000,32000,352000,N,세금계산서,인터넷발급,청구
T0016,2024-01-22,2024,2024-01,C53,경기도 안산시,,,-200000,-320000,-32000,-352000,Y,수정세금계산서,인터넷발급,청구
T0017,2024-01-24,2024,2024-01,C28,경상남도 창녕군,,,200000,320000,32000,352000,N,세금계산서,인터넷발급,청구
T0018,2024-01-25,2024,2024-01,C28,경상남도 창녕군,,,100000,120000,12000,132000,N,세금계산서,인터넷발급,청구
T0019,2024-01-31,2024,2024-01,C28,경상남도 창녕군,,,100000,180000,18000,198000,N,세금계산서,인터넷발급,청구
T0020,2024-01-31,2024,2024-01,C20,인천광역시 중구,,,25240000,25240000,2524000,27764000,N,세금계산서,ASP발급,청구
T0021,2024-01-31,2024,2024-01,C05,경기도 평택시,780920,447,349071240,349071240,34907124,383978364,N,세금계산서,ASP발급,청구
T0022,2024-01-31,2024,2024-01,C06,충청남도 천안시,1021180,437,446255660,446255660,44625566,490881226,N,세금계산서,ASP발급,청구
T0023,2024-01-31,2024,2024-01,C06,충청남도 천안시,-1021180,437,-446255660,-446255660,-44625566,-490881226,Y,수정세금계산서,ASP발급,청구
T0024,2024-01-31,2024,2024-01,C06,충청남도 천안시,1000000,437,437000000,446425100,44642510,491067610,Y,수정세금계산서,ASP발급,청구
T0025,2024-01-31,2024,2024-01,C02,경상남도 김해시,337250,419,141307750,733835090,73383509,807218599,N,세금계산서,ASP발급,청구
T0026,2024-01-31,2024,2024-01,C21,서울특별시 은평구,114650,465,53312250,53312250,5331225,58643475,N,세금계산서,ASP발급,청구
T0027,2024-01-31,2024,2024-01,C20,인천광역시 중구,,,-25240000,-25240000,-2524000,-27764000,Y,수정세금계산서,ASP발급,청구
T0028,2024-01-31,2024,2024-01,C20,인천광역시 중구,,,25240000,25240000,2524000,27764000,Y,수정세금계산서,ASP발급,청구
T0029,2024-01-31,2024,2024-01,C21,서울특별시 은평구,-114650,465,-53312250,-53312250,-5331225,-58643475,Y,수정세금계산서,ASP발급,청구
T0030,2024-01-31,2024,2024-01,C21,서울특별시 은평구,114650,456,52280400,52280400,5228040,57508440,Y,수정세금계산서,ASP발급,청구
T0031,2024-01-31,2024,2024-01,C20,인천광역시 중구,,,-25240000,-25240000,-2524000,-27764000,Y,수정세금계산서,ASP발급,청구
T0032,2024-01-31,2024,2024-01,C20,인천광역시 중구,,,35710000,35710000,3571000,39281000,N,세금계산서,ASP발급,청구
T0033,2024-01-31,2024,2024-01,C03,서울특별시 송파구,1368699,17,23267883,23267883,2326788,25594671,N,세금계산서,ASP발급,청구
T0034,2024-01-31,2024,2024-01,C03,서울특별시 송파구,,,408348,451065,45105,496170,N,세금계산서,ASP발급,청구
T0035,2024-01-31,2024,2024-01,C19,경기도 시흥시,291460,443,129116780,129116780,12911678,142028458,N,세금계산서,ASP발급,청구
T0036,2024-01-31,2024,2024-01,C36,경기도 용인시,26050,435,11331750,11331750,1133175,12464925,N,세금계산서,ASP발급,청구
T0037,2024-01-31,2024,2024-01,C07,경상남도 창원시,,,200000,320000,32000,352000,N,세금계산서,ASP발급,청구
T0038,2024-01-31,2024,2024-01,C01,경상북도 안동시,149020,430,64078600,108217200,10821720,119038920,N,세금계산서,ASP발급,청구
T0039,2024-01-31,2024,2024-01,C52,경기도 군포시,,,110000,110000,11000,121000,N,세금계산서,ASP발급,청구
T0040,2024-01-31,2024,2024-01,C30,부산광역시 중구,46790,30,1403700,1486780,148678,1635458,N,세금계산서,ASP발급,청구
T0041,2024-01-31,2024,2024-01,C04,부산광역시 수영구,20976521,9,184593385,184593385,18459338,203052723,N,세금계산서,ASP발급,청구
T0042,2024-01-31,2024,2024-01,C04,부산광역시 수영구,3000000,399,1197000000,1197000000,119700000,1316700000,N,세금계산서,ASP발급,청구
T0043,2024-02-01,2024,2024-02,C39,경상남도 창원시,,,1000000,1000000,100000,1100000,N,세금계산서,ASP발급,영수
T0044,2024-02-13,2024,2024-02,C28,경상남도 창녕군,,,200000,300000,30000,330000,N,세금계산서,인터넷발급,청구
T0045,2024-02-15,2024,2024-02,C04,부산광역시 수영구,,,1000000,1000000,100000,1100000,N,세금계산서,ASP발급,청구
T0046,2024-02-16,2024,2024-02,C11,서울특별시 중구,200000,475,95000000,95000000,9500000,104500000,N,세금계산서,ASP발급,청구
T0047,2024-02-20,2024,2024-02,C28,경상남도 창녕군,,,100000,140000,14000,154000,N,세금계산서,인터넷발급,청구
T0048,2024-02-22,2024,2024-02,C21,서울특별시 은평구,88390,456,40305840,40305840,4030584,44336424,N,세금계산서,ASP발급,청구
T0049,2024-02-23,2024,2024-02,C18,대구광역시 달서구,,,100000,180000,18000,198000,N,세금계산서,인터넷발급,청구
T0050,2024-02-26,2024,2024-02,C18,대구광역시 달서구,,,100000,140000,14000,154000,N,세금계산서,인터넷발급,청구
T0051,2024-02-27,2024,2024-02,C07,경상남도 창원시,,,200000,320000,32000,352000,N,세금계산서,ASP발급,청구
T0052,2024-02-27,2024,2024-02,C07,경상남도 창원시,,,100000,180000,18000,198000,N,세금계산서,ASP발급,청구
T0053,2024-02-27,2024,2024-02,C07,경상남도 창원시,,,200000,400000,40000,440000,N,세금계산서,ASP발급,청구
T0054,2024-02-28,2024,2024-02,C15,경기도 용인시,26880,408,10967040,10967040,1096704,12063744,N,세금계산서,ASP발급,청구
T0055,2024-02-29,2024,2024-02,C26,경기도 성남시,29770,408,12146160,12146160,1214616,13360776,N,세금계산서,ASP발급,청구
T0056,2024-02-29,2024,2024-02,C06,충청남도 천안시,978490,445,435428050,435428050,43542805,478970855,N,세금계산서,ASP발급,청구
T0057,2024-02-29,2024,2024-02,C05,경기도 평택시,644230,447,287970810,287970810,28797081,316767891,N,세금계산서,ASP발급,청구
T0058,2024-02-29,2024,2024-02,C19,경기도 시흥시,247830,443,109788690,109788690,10978869,120767559,N,세금계산서,ASP발급,청구
T0059,2024-02-29,2024,2024-02,C01,경상북도 안동시,1097270,430,471826100,493220190,49322019,542542209,N,세금계산서,ASP발급,청구
T0060,2024-02-29,2024,2024-02,C06,충청남도 천안시,-978490,445,-435428050,-435428050,-43542805,-478970855,Y,수정세금계산서,ASP발급,청구
T0061,2024-02-29,2024,2024-02,C06,충청남도 천안시,978490,445,435428050,435428050,43542805,478970855,Y,수정세금계산서,ASP발급,청구
T0062,2024-02-29,2024,2024-02,C20,인천광역시 중구,,,34620000,34620000,3462000,38082000,N,세금계산서,ASP발급,청구
T0063,2024-02-29,2024,2024-02,C01,경상북도 안동시,-1097270,430,-471826100,-493220190,-49322019,-542542209,Y,수정세금계산서,ASP발급,청구
T0064,2024-02-29,2024,2024-02,C01,경상북도 안동시,1097270,430,471826100,492949960,49294996,542244956,Y,수정세금계산서,ASP발급,청구
T0065,2024-02-29,2024,2024-02,C19,경기도 시흥시,-247830,443,-109788690,-109788690,-10978869,-120767559,Y,수정세금계산서,ASP발급,청구
